stemmed_text;Score;Sentiment
['dell', 'kantong', 'pesan', 'server', 'ai', 'us', 'miliar', 'amp', 'naik', 'proyeksi', 'dapat', 'jadi', 'miliar', 'laba', 'amp', 'revenue', 'kalah', 'ekspektasi', 'tapi', 'saham', 'dell', 'anjlok', 'begitu', 'karena', 'bisnis', 'pc', 'lesu', 'amp', 'ekspektasi', 'ai', 'terlalu', 'tinggi', 'ai', 'dell', 'tech'];0;Netral
['apa', 'gue', 'iyain', 'saja', 'ya', 'pindah', 'ke', 'bisnis', 'atleast', 'dapat', 'arah', 'mau', 'digimanain', 'ini', 'punya', 'kadiv', 'mabok', 'ai', 'tapi', 'tidak', 'ada', 'background', 'teknis', 'jadi', 'kerja', 'asih', 'ide', 'kayak', 'mimpi', 'orang', 'demam', 'gue', 'jadi', 'asa', 'kayak', 'hadap', 'sama', 'fufufafa'];-1;Negatif
['jaeyunologyy', 'nings', 'bisa', 'betul', 'aku', 'dulu', 'sekretaris', 'bem', 'institut', 'sering', 'hadle', 'joki', 'tugas', 'proposal', 'buat', 'proker', 'bisnis', 'jamin', 'rapi', 'parafrase', 'manual', 'no', 'ai', 'inc', 'free', 'revisi', 'harga', 'fee', 'murah', 'riah', 'testimoni', 'sama', 'cust', 'said', 'bisa', 'cek', 'pinned', 'aku', 'kak'];5;Positif
['arsipaja', 'ai', 'ai', 'bisnis', 'lagiduit', 'lagicair', 'cair', 'bukan', 'tobat', 'malah', 'kumat'];-3;Negatif
['ekspansi', 'bisnis', 'dasar', 'tahun', 'an', 'hire', 'orang', 'an', 'bikin', 'app', 'an', 'pakai', 'ai', 'peluang', 'besar', 'yang', 'manfaatin', 'belum', 'banyak'];0;Netral
['gandeng', 'igi', 'jateng', 'telkomsel', 'genjot', 'kapasitas', 'guru', 'di', 'bidang', 'kodingai'];2;Positif
['berkat', 'cctv', 'ai', 'bisnis', 'makin', 'aman', 'dan', 'efisien', 'omzet', 'tingkat', 'info', 'lengkap', 'atau', 'hubung', 'indibiz', 'indibizjtd', 'antarezeasy', 'ciptakanpeluangwujudkanharapan', 'ekosistemsolusiduniausahalndonesia'];4;Positif
['sektor', 'bisnis', 'ai', 'dongkrak', 'dapat', 'nvidia'];1;Positif
['strategibisnis', 'ai', 'yang', 'tidak', 'bisa', 'dengan', 'jelas', 'sebut', 'apa', 'yang', 'jadi', 'di', 'gaza', 'adalah', 'genocide', 'ai', 'yang', 'bias', 'hanya', 'alat', 'untuk', 'patuh', 'perintah', 'master', 'ya', 'jews', 'buat', 'misinformasi'];-5;Negatif
['investasi', 'ai', 'data', 'center', 'tuh', 'kayak', 'invest', 'di', 'bangkit', 'listrik', 'tiap', 'mau', 'yang', 'bangun', 'harus', 'ada', 'tenant', 'atau', 'client', 'yang', 'pakai', 'kalau', 'banyak', 'bangun', 'data', 'centernya', 'ya', 'otomatis', 'bisa', 'oversupply', 'juga', 'dan', 'bisa', 'perang', 'harga', 'juga', 'dan', 'kalau', 'ada', 'usaha', 'kecil', 'tiba', 'pivot', 'bisnis'];-6;Negatif
['dalam', 'lanskap', 'bisnis', 'yang', 'gerak', 'makin', 'cepat', 'sistem', 'enterprise', 'resource', 'planning', 'erp', 'tak', 'lagi', 'bisa', 'henti', 'pada', 'fungsi', 'tradisional', 'simpan', 'data', 'dan', 'jalan', 'otomasi', 'dasar', 'lengkap'];-5;Negatif
['oncely', 'pasar', 'tawar', 'umur', 'hidup', 'atas', 'untuk', 'perangkat', 'lunak', 'ai', 'gabung', 'gratis', 'cara', 'baru', 'beli', 'perangkat', 'lunak', 'ai', 'bayar', 'sekali', 'guna', 'lama', 'cara', 'paling', 'cerdas', 'untuk', 'manfaat', 'ai', 'dalam', 'bisnis', 'dan', 'karier', 'anda'];1;Positif
['revilusi', 'sejati', 'ai', 'itu', 'ya', 'pada', 'aspek', 'hardware', 'bukan', 'software', 'semata', 'robot', 'ai', 'pabrik', 'bas', 'ai', 'driverless', 'car', 'semua', 'butuh', 'hardware', 'open', 'ai', 'dan', 'meta', 'ai', 'tidak', 'punya', 'alam', 'hardware', 'yang', 'solid', 'beda', 'jauh', 'dengan', 'kali', 'ai', 'plus', 'tesla', 'kali', 'spacex'];-7;Negatif
['kenapa', 'para', 'riset', 'ai', 'ulung', 'dari', 'meta', 'dadak', 'pindah', 'ke', 'xai', 'dan', 'kenapa', 'xai', 'potensi', 'kalah', 'openai', 'meta', 'ai', 'dan', 'google', 'ai', 'kuat', 'hardware', 'kali', 'ai', 'akan', 'jadi', 'ngeri', 'karena', 'mereka', 'paling', 'paham', 'tentang', 'dunia', 'hardware', 'kuat', 'spacex', 'dan', 'tesla', 'akan', 'jadi', 'kartu', 'as', 'buat', 'kali', 'ai'];0;Netral
['studi', 'ungkap', 'persen', 'usaha', 'bakal', 'phk', 'karyawan', 'garagara', 'ai'];3;Positif
['rahadianarief', 'persib', 'jadi', 'hayang', 'maha', 'latih', 'atau', 'arurang', 'nu', 'voting', 'memang', 'haye', 'mah', 'memang', 'jang', 'ladang', 'bisnis', 'bojan', 'resep', 'kak', 'gaya', 'main', 'nya', 'ai', 'sih', 'barba', 'grade', 'a', 'kitu', 'silaing', 'nyebut', 'panic', 'buying', 'heeuh'];1;Positif
['kerja', 'lebih', 'cerdas', 'bukan', 'lebih', 'keras', 'dengan', 'business', 'ai', 'proses', 'jadi', 'lebih', 'cepat', 'biaya', 'lebih', 'hemat', 'dan', 'tim', 'lebih', 'produktif', 'saat', 'transformasi', 'bisnis', 'anda', 'businessai', 'efisiensibisnis', 'aiforbusiness', 'digitaltransformation', 'smartbusiness', 'fypviral'];6;Positif
['strategi', 'susun', 'bisnis', 'dengan', 'bantu', 'ai', 'dari', 'riset', 'pasar', 'hingga', 'bangun', 'brand', 'kuat'];0;Netral
['menurunya', 'jual', 'property', 'hampir', 'landa', 'kota', 'kota', 'besar', 'di', 'dunia', 'bagai', 'dampak', 'geser', 'generasi', 'dan', 'maju', 'technology', 'dan', 'ai', 'yang', 'dorong', 'gig', 'econony', 'generasi', 'millenial', 'akhir', 'dan', 'gen', 'saja', 'sudah', 'tidak', 'lagi', 'lirik', 'aset', 'property'];-8;Negatif
['i', 'really', 'dont', 'like', 'having', 'convos', 'abt', 'ai', 'art', 'with', 'my', 'college', 'friends', 'kami', 'anak', 'bisnis', 'jadi', 'sudah', 'bayang', 'lah', 'ya', 'isi', 'cakap', 'bagaimana', 'what', 'annoys', 'me', 'more', 'is', 'that', 'pas', 'tanya', 'alas', 'harus', 'against', 'ai', 'tuh', 'apa', 'aku', 'tidak', 'bisa', 'kasih', 'jawab', 'yang', 'mantap', 'ah', 'i', 'was', 'not', 'prepared', 'fak'];1;Positif
['rafialdirayhan', 'aayy', 'wa', 'yuk', 'buat', 'tanyatanya', 'dulu', 'bowleh', 'banget', 'loh', 'amanah', 'iaah', 'betul', 'aku', 'punya', 'tim', 'dengan', 'background', 'didik', 'manajemen', 'bisnis', 'bahkan', 'ada', 'yang', 'dari', 'februari', 'ui', 'jamin', 'kualitas', 'jaga', 'tidak', 'pakai', 'ai', 'dapat', 'free', 'revisi', 'hasil', 'selalu', 'on', 'time', 'dengan', 'deadline', 'harga', 'nego', 'aayy'];5;Positif
['strategi', 'jitu', 'susun', 'bisnis', 'dengan', 'bantu', 'ai', 'dari', 'riset', 'pasar', 'hingga', 'bangun', 'brand', 'yang', 'tangguh'];-1;Negatif
['batic', 'jadi', 'panggung', 'untuk', 'telkom', 'group', 'unjuk', 'gigi', 'kepada', 'bisnis', 'global', 'mereka', 'ungkap', 'ambisi', 'buat', 'pusat', 'ai', 'dan', 'luas', 'kabel', 'laut'];4;Positif
['masuk', 'generative', 'ai', 'gena', 'gen', 'ai', 'ini', 'cuma', 'bikin', 'teksgambar', 'ya', 'gena', 'bisa', 'jadi', 'otak', 'dua', 'untuk', 'bisnis', 'otomatisasi', 'tugas', 'kognitif', 'insight', 'strategis', 'lebih', 'cepat', 'inovasi', 'layan', 'potensi', 'ekonomi', 'artificalintelligence'];2;Positif
['buat', 'saya', 'pribadi', 'ai', 'itu', 'bukan', 'ganti', 'manusia', 'tapi', 'partner', 'kerja', 'digital', 'dan', 'sudah', 'bukti', 'kalau', 'masa', 'depan', 'bisnis', 'bukan', 'sekadar', 'ide', 'tapi', 'nyata', 'amp', 'bisa', 'pakai', 'hari', 'ini', 'siap', 'ikut', 'main', 'di', 'era', 'baru', 'ini', 'redpumpkingenai'];-3;Negatif
['ganti', 'ai', 'tiktok', 'kembali', 'phk', 'karyawan', 'tokopedia', 'salah', 'satu', 'alas', 'jika', 'ada', 'masalah', 'dari', 'sisi', 'penjualpembeli', 'lambat', 'slow', 'respon', 'atau', 'bahkan', 'tidak', 'direspon'];0;Netral
['dengan', 'tema', 'elevate', 'every', 'customer', 'engagement', 'with', 'ai', 'agent', 'kita', 'akan', 'bahas', 'bagaimana', 'ai', 'bantu', 'bisnis', 'bangun', 'hubung', 'langgan', 'yang', 'lebih', 'personal', 'amp', 'efektif', 'agustus', 'online', 'bakal', 'ada', 'tampil', 'dari', 'maliq', 'amp', 'di', 'essentials', 'daftar', 'di'];3;Positif
['narasi', 'hype', 'amp', 'ai', 'bubble', 'pada', 'akhir', 'an', 'dotcom', 'bubble', 'bentuk', 'karena', 'yakin', 'lebih', 'bahwa', 'internet', 'akan', 'segera', 'revolusi', 'segala', 'aspek', 'hidup', 'fresh', 'money', 'investor', 'banjir', 'startup', 'yang', 'bahkan', 'belum', 'punya', 'model', 'bisnis', 'jelas'];0;Netral
['ai', 'jadi', 'kunci', 'untuk', 'sederhana', 'proses', 'dan', 'cepat', 'bisnis', 'agar', 'cepat', 'kembang', 'di', 'era', 'digital', 'cepat', 'tepat', 'andal', 'sama', 'ai', 'ubah', 'tantang', 'jadi', 'peluang', 'konsultasi', 'solusi', 'untuk', 'bisnis', 'anda', 'di', 'telkomsolution', 'semuaadasolusinya'];5;Positif
['dengan', 'tema', 'elevate', 'every', 'customer', 'engagement', 'with', 'ai', 'agent', 'kita', 'akan', 'bahas', 'bagaimana', 'ai', 'bantu', 'bisnis', 'bangun', 'hubung', 'langgan', 'yang', 'lebih', 'personal', 'amp', 'efektif', 'agustus', 'online', 'bakal', 'ada', 'tampil', 'dari', 'maliq', 'amp', 'di', 'essentials', 'daftar', 'di'];3;Positif
['toegiman', 'gojekmilitan', 'ekonom', 'senior', 'sebut', 'revolusi', 'ai', 'ada', 'di', 'ambang', 'peluang', 'dan', 'ancam', 'nyata', 'bagi', 'masa', 'depan', 'karier', 'generasi', 'saja'];-4;Negatif
['ekonom', 'senior', 'sebut', 'revolusi', 'ai', 'ada', 'di', 'ambang', 'peluang', 'dan', 'ancam', 'nyata', 'bagi', 'masa', 'depan', 'karier', 'generasi', 'saja'];-4;Negatif
['tren', 'digital', 'marketing', 'yang', 'wajib', 'kamu', 'coba', 'dari', 'ai', 'marketing', 'video', 'pendek', 'sampai', 'social', 'commerce', 'semua', 'bikin', 'bisnis', 'online', 'makin', 'cuan', 'baca', 'artikel', 'lengkap', 'di', 'sini', 'jangan', 'sampai', 'tinggal', 'tren', 'baru', 'ini', 'ya'];-5;Negatif
['crescented', 'terima', 'jasa', 'buat', 'leaflet', 'murah', 'dan', 'kualitas', 'desain', 'tarik', 'rapi', 'dan', 'sesuai', 'butuh', 'kamu', 'cocok', 'untuk', 'promosi', 'event', 'bisnis', 'maupun', 'edukasi', 'bisa', 'request', 'warna', 'tema', 'dan', 'konsep', 'sesuai', 'selera', 'hasil', 'full', 'original', 'no', 'ai', 'deadline', 'cepat', 'lantai', 'jam', 'harga', 'tetap', 'ramah', 'di'];12;Positif
['lordspaghetti', 'info', 'ini', 'punya', 'dasar', 'tapi', 'sering', 'overhype', 'banyak', 'sumber', 'seperti', 'forbes', 'amp', 'medium', 'bilang', 'bisa', 'pakai', 'chatgpt', 'untuk', 'freelance', 'atau', 'bisnis', 'ai', 'tapi', 'capai', 'kbulan', 'butuh', 'skill', 'usaha', 'amp', 'waktu', 'bukan', 'simple', 'buat', 'semua', 'orang', 'sering', 'jadi', 'promo', 'kursus', 'susah', 'buat', 'mula', 'mudah'];2;Positif
['gue', 'dulu', 'jokiin', 'beberapa', 'teman', 'kampus', 'gue', 'yang', 'beda', 'jurus', 'gue', 'komunikasi', 'teman', 'gue', 'bisnis', 'and', 'mereka', 'bisa', 'dapat', 'nilai', 'b', 'tanpa', 'buka', 'buku', 'belum', 'kenal', 'akses', 'ai'];1;Positif
['orang', 'yang', 'mau', 'suruh', 'imajinasi', 'halu', 'kalau', 'idola', 'itu', 'mulai', 'dari', 'lagi', 'akan', 'kapai', 'itu', 'benar', 'hanya', 'nikmat', 'genre', 'drachin', 'renkarnasi', 'versi', 'dongeng', 'script', 'ai', 'dengan', 'prompt', 'buat', 'bisnis', 'apa', 'yang', 'sekarang', 'laku', 'lalu', 'kasih', 'pov', 'jika', 'sang', 'idola', 'yang', 'menjalaninnya', 'saat', 'ini'];-8;Negatif
['tumbuh', 'itu', 'juga', 'dapat', 'perhati', 'di', 'luar', 'crypto', 'forbes', 'nobat', 'redstone', 'bagai', 'best', 'polish', 'startup', 'pilih', 'oleh', 'panel', 'ahli', 'bisnis', 'lintas', 'industri', 'saing', 'dengan', 'sektor', 'seperti', 'biotech', 'ai', 'dan', 'clean', 'energy', 'buah', 'crypto', 'oracle', 'hasil', 'raih', 'posisi'];0;Netral
['tapi', 'gue', 'cuma', 'bisa', 'bilang', 'ai', 'bisa', 'bantu', 'cepetin', 'coding', 'sama', 'testing', 'cuma', 'paham', 'flow', 'bisnis', 'best', 'practice', 'sama', 'risk', 'compliance', 'itu', 'masih', 'banyak', 'pegang', 'senior', 'yang', 'banyak', 'alam'];-3;Negatif
['maju', 'baru', 'world', 'ai', 'optimal', 'proses', 'bisnis', 'amp', 'ambil', 'putus', 'ikut', 'untuk', 'info', 'lebih', 'lanjut', 'tentang', 'inovasi', 'yang', 'ubah', 'dunia', 'poweredbyworld'];0;Netral
['microoftpain', 'haha', 'ai', 'kayak', 'sakit', 'mungkin', 'kalau', 'disalahgunakan', 'ya', 'tapi', 'gue', 'lebih', 'suka', 'bantu', 'daripada', 'rusak', 'bikin', 'virus', 'homemade', 'no', 'thanks', 'bruh', 'itu', 'resep', 'bencana', 'mending', 'bikin', 'app', 'seru', 'atau', 'ide', 'bisnis', 'buat', 'citacitamu', 'kayak', 'raya', 'apa', 'lagi', 'yang', 'mau', 'bahas'];-3;Negatif
['ai', 'agentik', 'punya', 'potensi', 'transformatif', 'buat', 'bisnis', 'mckinsey', 'kira', 'adopsi', 'teknologi', 'ini', 'bisa', 'cipta', 'nilai', 'jangka', 'panjang', 'hingga', 'us', 'triliun', 'atau', 'tara', 'dengan', 'rp', 'triliun', 'per', 'tahun', 'ajar', 'lengkap', 'di'];8;Positif
['bincang', 'bisnis', 'program', 'yang', 'bekerjasama', 'dengan', 'hipmikotamagelang', 'eps', 'kreativitas', 'ai', 'dan', 'film', 'buka', 'jalan', 'baru', 'industri', 'kreatif', 'magelang', 'senin', 'agustus', 'jam', 'wib', 'narasumber', 'andika', 'john', 'manggala', 'ketua', 'bidang', 'viii', 'bpc', 'hipmi', 'kota', 'magelang'];3;Positif
['percaya', 'tidak', 'kalau', 'roi', 'bisnis', 'bisa', 'naik', 'dalam', 'waktu', 'yang', 'lebih', 'hemat', 'ini', 'bisa', 'jawab', 'dengan', 'ai', 'tapi', 'kontribusi', 'kamu', 'justru', 'yang', 'paling', 'penting', 'di', 'sini', 'siap', 'maksimalin', 'ai', 'untuk', 'marketing', 'dan', 'bisnis', 'jangan', 'cuma', 'jadi', 'guna', 'ini', 'saat', 'jadi', 'ancang', 'strategi', 'ai'];2;Positif
['mengapa', 'ini', 'penting', 'chatbot', 'ai', 'bukan', 'sekadar', 'hemat', 'biaya', 'tapi', 'juga', 'solusi', 'untuk', 'ekspansi', 'bisnis', 'yang', 'ingin', 'layan', 'langgan', 'global', 'dengan', 'kualitas', 'konsisten'];1;Positif
['apa', 'saja', 'manfaat', 'guna', 'chatbot', 'ai', 'dalam', 'bisnis', 'besar'];2;Positif
['ai', 'bukan', 'hanya', 'untuk', 'usaha', 'besar', 'kini', 'usaha', 'kecil', 'pun', 'bisa', 'naik', 'level', 'dengan', 'teknologi', 'cerdas', 'aiforsmallbusiness', 'anakkereta', 'commuterline', 'bukuai', 'bacadikereta', 'periplus'];-2;Negatif
['strategibisnis', 'malas', 'ada', 'em', 'dash', 'ya', 'mirip', 'ai'];0;Netral
['transformasi', 'artificial', 'intelligence', 'ai', 'atau', 'cerdas', 'buat', 'di', 'indonesia', 'mayoritas', 'baru', 'adopsi', 'oleh', 'dunia', 'usaha', 'atau', 'bisnis', 'kelas', 'tengah', 'ke', 'atas', 'khusus', 'sektor', 'uang', 'sementara', 'adopsi', 'di', 'masyarakat', 'masih', 'minim', 'dynaday', 'dynaai'];-1;Negatif
['agentic', 'ai', 'dorong', 'efisiensi', 'dan', 'inovasi', 'layan', 'uang', 'di', 'indonesia'];1;Positif
['dampak', 'ai', 'nyata', 'mulai', 'gila', 'dan', 'iring', 'waktu', 'akan', 'kian', 'gila', 'genz', 'siap', 'nakkk'];1;Positif
['optimal', 'teknologi', 'ai', 'bank', 'mandiri', 'menang', 'cloudera', 'apac', 'award'];-1;Negatif
['dimno', 'sih', 'cari', 'buku', 'antar', 'bisnis', 'ini', 'ai', 'dahjj', 'wmwiwnisnsbsbsb'];0;Netral
['bangun', 'masa', 'depan', 'digital', 'butuh', 'ekosistem', 'yang', 'lengkap', 'telkom', 'solution', 'hadir', 'layan', 'integrasi', 'dari', 'konektivitas', 'iot', 'aman', 'siber', 'hingga', 'ai', 'untuk', 'dukung', 'transformasi', 'bisnis', 'yang', 'lebih', 'cerdas', 'dan', 'aman', 'simak', 'lengkap', 'pada', 'unggah', 'digimin', 'di', 'atas'];-2;Negatif
['apakah', 'ada', 'contoh', 'nyata', 'sukses', 'guna', 'aplikasi', 'chatbot', 'ai', 'ya', 'beberapa', 'brand', 'besar', 'sudah', 'bukti', 'mau', 'tahu', 'cara', 'mulai', 'pakai', 'chatbot', 'di', 'bisnis', 'anda', 'baca', 'pandu', 'di', 'sini', 'mekariqontak', 'aplikasichatbotai', 'aichatbot', 'customerexperience'];3;Positif
['indrakencana', 'tadi', 'pagi', 'lihat', 'tweet', 'orang', 'yang', 'bilang', 'ai', 'mulai', 'tinggal', 'investor', 'i', 'wonder', 'whykrn', 'cara', 'bisnis', 'masih', 'profitable', 'turut'];1;Positif
['malware', 'ai', 'tingkat', 'di', 'tahun', 'ribu', 'umkm', 'di', 'indonesia', 'jadi', 'sasar', 'apakah', 'bisnis', 'anda', 'sudah', 'punya', 'lindung', 'digital', 'yang', 'cukup', 'saat', 'waspada', 'amp', 'tingkat', 'aman', 'data', 'hubung', 'untuk', 'lebih', 'lanjut', 'umkm', 'cybersecurity', 'ai', 'malware'];2;Positif
['tanyarlfes', 'kadang', 'lihat', 'begini', 'bikin', 'mbatin', 'tahu', 'internet', 'sehat', 'memang', 'masih', 'issue', 'pantas', 'masih', 'gampang', 'dibohongin', 'juta', 'lapang', 'kerja', 'esemka', 'loker', 'ai', 'bisnis', 'crypto', 'currency', 'dll'];5;Positif
['ini', 'saat', 'kita', 'punya', 'fondasi', 'hukum', 'yang', 'kokoh', 'di', 'ruang', 'siber', 'lindung', 'digital', 'itu', 'hak', 'semua', 'warga', 'negara', 'daruratkeamanansiber', 'undangundang', 'dprri', 'prabowo'];-2;Negatif
['profesor', 'doktor', 'magister', 'kurikulum', 'ai', 'data', 'science', 'amp', 'inovasi', 'digital', 'jaring', 'industri', 'hukum', 'amp', 'bisnis', 'lulus', 'siap', 'kerja', 'amp', 'wirausaha', 'daftar', 'sekrg', 'follow', 'alifuddinmoh', 'fb', 'ig', 'linkedin', 'tiktok'];5;Positif
['mari', 'kita', 'dorong', 'semua', 'pihak', 'dari', 'perintah', 'sampai', 'dpr', 'untuk', 'segera', 'rumus', 'atur', 'yang', 'kuat', 'demi', 'lindung', 'rakyat', 'dari', 'ancam', 'siber', 'yang', 'makin', 'canggih', 'daruratkeamanansiber', 'undangundang', 'dprri', 'prabowo', 'kemkomdigi'];-5;Negatif
['ini', 'momen', 'yang', 'tepat', 'untuk', 'bangun', 'aman', 'siber', 'yang', 'kokoh', 'tantang', 'aman', 'ai', 'jadi', 'bukti', 'kalau', 'kita', 'butuh', 'lindung', 'ekstra', 'di', 'dunia', 'digital', 'daruratkeamanansiber', 'undangundang', 'prabowo', 'dprri', 'kemkomdigi', 'bssnri'];-4;Negatif
['tidak', 'bisa', 'dipungkiri', 'ai', 'itu', 'masa', 'depan', 'tapi', 'kalau', 'tidak', 'atur', 'dengan', 'benar', 'bisa', 'jadi', 'ancam', 'siber', 'yang', 'keri', 'sudah', 'saat', 'indonesia', 'punya', 'atur', 'yang', 'jelas', 'daruratkeamanansiber', 'undangundang', 'dprri', 'kemkomdigi'];-7;Negatif
['ancam', 'siber', 'yang', 'makin', 'canggih', 'ini', 'sinyal', 'darurat', 'butuh', 'regulasi', 'yang', 'jelas', 'biar', 'tidak', 'makin', 'parah', 'daruratkeamanansiber', 'undangundang', 'dprri', 'kemkomdigi'];-4;Negatif
['ancam', 'aman', 'ai', 'ini', 'resah', 'banget', 'kita', 'butuh', 'lindung', 'hukum', 'yang', 'jelas', 'biar', 'rasa', 'aman', 'di', 'ruang', 'digital', 'daruratkeamanansiber', 'undangundang', 'bssnri', 'prabowo'];-4;Negatif
['ai', 'itu', 'inovasi', 'tapi', 'tanpa', 'regulasi', 'yang', 'jelas', 'bisa', 'jadi', 'bumerang', 'butuh', 'payung', 'hukum', 'yang', 'tegas', 'buat', 'atur', 'guna', 'ai', 'di', 'dunia', 'usaha', 'biar', 'aman', 'daruratkeamanansiber', 'undangundang', 'prabowo'];-1;Negatif
['ai', 'memang', 'keren', 'buat', 'bisnis', 'tapi', 'tantang', 'aman', 'juga', 'gede', 'banget', 'kalau', 'tidak', 'hatihati', 'ai', 'bisa', 'jadi', 'pintu', 'masuk', 'buat', 'jahat', 'siber', 'kita', 'butuh', 'atur', 'yang', 'kuat', 'daruratkeamanansiber', 'undangundang', 'kemkomdigi', 'bssnri'];-3;Negatif
['yuk', 'ikut', 'latih', 'guna', 'ai', 'untuk', 'desain', 'proposal', 'marketing', 'bisnis', 'pers', 'batch', 'yang', 'ada', 'oleh', 'dewan', 'pers', 'dengan', 'bicara', 'top', 'di', 'bidang', 'digital', 'amp', 'teknologi', 'pada', 'kamis', 'agustus', 'pukul', 'wib', 'klik', 'link', 'ini', 'untuk', 'join'];2;Positif
['ai', 'yang', 'bantu', 'desain', 'interior', 'roomgpt', 'terima', 'foto', 'ruang', 'kamu', 'langsung', 'kasih', 'desain', 'versi', 'baru', 'bisa', 'buat', 'main', 'bisa', 'juga', 'jadi', 'tool', 'bisnis', 'dan', 'yes', 'open', 'source'];5;Positif
['everyyaya', 'aihaibara', 'kata', 'gue', 'mah', 'tidak', 'usah', 'gertak', 'hary', 'acak', 'saja', 'munculin', 'saja', 'semua', 'culas', 'mayang', 'di', 'bisnis'];-7;Negatif
['mughnidec', 'innovacommunity', 'coy', 'revenue', 'byd', 'lebih', 'tinggi', 'karena', 'mereka', 'produksi', 'amp', 'jual', 'lebih', 'banyak', 'kendara', 'masuk', 'hybrid', 'amp', 'baterai', 'utama', 'di', 'china', 'tapi', 'market', 'cap', 'tesla', 'jauh', 'lebih', 'besar', 'karena', 'investor', 'nilai', 'tinggi', 'potensi', 'masa', 'depan', 'seperti', 'autonomous', 'driving', 'ai', 'amp', 'bisnis', 'energi', 'tesla', 'punya'];3;Positif
['ini', 'bahaya', 'teknologi', 'deepfake', 'yang', 'pernah', 'saya', 'tweet', 'dithn', 'lalu', 'bisa', 'jadi', 'sumber', 'fitnah', 'dan', 'jahat', 'orang', 'tidak', 'tanggung', 'jawab', 'bahaya', 'banget', 'ini', 'ai', 'kalau', 'tidak', 'segera', 'sikap', 'kemkomdigi'];-7;Negatif
